Row,Difference,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Total Expense
3expense,2,0,1,1,2,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4expense,3,0,1,1,2,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
5expense,1,0,1,1,2,4,8,15,31,60,111,161,161,154,148,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918
6expense,1,0,1,1,2,4,8,16,31,60,111,161,161,154,148,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903
7expense,3,0,1,1,2,4,8,16,32,61,119,197,233,231,229,228,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322
8expense,6,0,1,1,2,4,8,16,32,64,122,199,236,233,229,228,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271
9expense,6,0,1,1,2,4,8,16,32,64,128,250,487,905,1532,1969,1963,1958,1946,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11511
10expense,7,0,1,1,2,4,8,16,32,64,128,256,505,990,1881,3283,4706,4704,4699,4697,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27686
11expense,1,0,1,1,2,4,8,16,32,64,128,256,512,1023,2044,4055,7919,14981,26237,38253,38236,38249,38230,19146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228373
12expense,4,0,1,1,2,4,8,16,32,64,128,256,512,1024,2044,4055,7919,14981,26237,38253,38236,38249,38230,19146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227350
13expense,1,0,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4095,8187,16340,32434,63358,119878,210149,306479,306391,306476,306387,153479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833653
14expense,5,0,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8187,16340,32434,63358,119878,210149,306479,306391,306476,306387,153479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829558
15expense,1,3,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16383,32760,65456,130592,259113,505717,954553,1663260,2361188,2360271,2361187,2360269,1069991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14140740
16expense,8,3,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32760,65456,130592,259113,505717,954553,1663260,2361188,2360271,2361187,2360269,1069991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14124357
17expense,1,56,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65535,131064,262100,524034,1046956,2086690,4128769,7997189,14875078,25182284,31429778,31400694,31429775,31400686,6363928,0,0,0,0,0,0,0,0,0,0,0,188324560
18expense,8,56,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131064,262100,524034,1046956,2086690,4128769,7997189,14875078,25182284,31429778,31400694,31429775,31400686,6363928,0,0,0,0,0,0,0,0,0,0,0,188259025
19expense,3,228,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262141,524264,1048418,2096033,4187081,8341953,16486162,31847138,58859389,97969355,117724276,117615773,117724272,117615770,13079372,0,0,0,0,0,0,0,0,0,705381397
20expense,10,371,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524278,1048516,2096685,4191048,8367286,16641510,32706884,62465200,112867146,175232654,187435775,187364402,187435774,144899349,0,0,0,0,0,0,0,0,0,1123276507
21expense,1,5137,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048575,2097146,4194262,8388312,16775334,33542203,67029488,133704122,265174057,516846425,973769473,1688418697,2346152905,2344988420,2346152900,2344988415,971555928,0,0,0,0,0,14064826662
22expense,6,5137,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097146,4194262,8388312,16775334,33542203,67029488,133704122,265174057,516846425,973769473,1688418697,2346152905,2344988420,2346152900,2344988415,971555928,0,0,0,0,0,14063778087
23expense,4,23673,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194300,8388584,16777041,33553323,67101638,134170161,268126270,534869510,1061017279,2069344842,3902521091,6783803497,9533309615,9529083732,9533309612,9529083728,4143689624,0,0,0,57152343847
