iteration,successor,predecessor,prunable
1,85,341,False
1,85,85,True
1,341,5461,False
1,341,853,True
2,5461,21845,False
2,5461,7253,True
2,853,3413,False
2,853,1109,True
3,21845,349525,False
3,21845,14549,True
3,7253,116053,False
3,7253,19285,True
3,3413,54613,False
3,3413,2261,True
3,1109,17749,False
3,1109,725,True
4,349525,1398101,False
4,349525,1864021,True
4,14549,232789,False
4,14549,9685,True
4,116053,464213,False
4,116053,154709,True
4,19285,77141,False
4,19285,25685,True
4,54613,218453,False
4,54613,291157,True
4,2261,36181,False
4,2261,1493,True
4,17749,70997,False
4,17749,94549,True
4,725,11605,False
4,725,469,True
