
		       BASIS FOR L=211

1   1,2,3,5,6,7,10,14,15,21,30,35,42,70,105,210      (5,7)		  16
3   4,8,79,158					     (79)		   4
5   17,31,34,62 				     (17,31)		   4
6   11,23,55,115				     (5,11,23)		   4
7   9,12,18,36,41,82,123,164			     (41)		   8
9   13,26,73,146				     (13,73)		   4
10  19,37,57,111				     (19,37)		   4
11  16,20,29,40,58,80,116,145			     (5,29)		   8
15  28,113					     (7,113)		   2
16  25,27,45,75,125,135 			     (5)		   6
17  22,163					     (11,163)		   2
19  24,166,167					     (83,167)		   3
22  39,51,91,119				     (7,13,17)		   4
24  61,83					     (61,83)		   2
27  32,64,89,178				     (89)		   4
28  33,179					     (11,179)		   2
29  38,46,133,161				     (7,19,23)		   4
31  60,109					     (5,109)		   2
32  43,157					     (43,157)		   2
33  59,118,129,193				     (43,59,193)	   4
35  52,71,104,142				     (13,71)		   4
36  49,155					     (5,7,31)		   2
39  44,68,121,187				     (11,17)		   4
40  87,97					     (87,97)		   2
41  50,173					     (5,173)		   2
43  48,54,56,63,72,81,84,108,112,126,144,162,168,189 (7)		  14
45  47,94,101,202				     (47,101)		   4
47  67,74,134,148				     (37,67)		   4
50  77,137					     (7,11,137) 	   2
52  53,69,159,207				     (23,53)		   4
56  85,139					     (5,17,139) 	   2
61  65,66,78,90,99,110,117,130,143,165,195,198	     (5,11,13)		  12
62  103,127					     (103,127)		   2
67  76,93,114,124,152,186			     (19,31)		   6
71  107,140					     (5,7,107)		   2
73  102,151					     (17,151)		   2
75  86,92,172,184				     (23,43)		   4
83  88,199					     (11,199)		   2
85  98,122,147,183				     (7,61)		   4
86  95,191					     (5,19,191) 	   2
91  96,100,120,128,150,160,192,200		     (5)		   8
105 106,209					     (11,19,53) 	   2
107 136,166					     (17,83)		   2
113 131,182					     (7,13,131) 	   2
121 138,185					     (5,23,37)		   2
124 153,171					     (17,19)		   2
127 132,154,174,203				     (7,11,29)		   4
137 149,194					     (97,149)		   2
139 141,156,188,208				     (13,47)		   4
141 170,175					     (5,7,17)		   2
151 177,180					     (5,59)		   2
165 169,206					     (13,103)		   2
171 176,205					     (5,11,41)		   2
175 181,204					     (17,181)		   2
181 190,201					     (5,19,67)		   2
183 196,197					     (7,197)		   2

